Nom,Pays,Sexe,Distance,Taille,Poids,IMC,Temps,Vitesse
Matthew Stanley,NZL,Homme,400,198,82,20.91623304,227.9,6.318560772
Gabriele Detti,ITA,Homme,400,184,79,23.33412098,228.02,6.315235506
Velimir Stjepanovic,SRB,Homme,400,183,74,22.09680791,228.25,6.308871851
Robbie Renwick,GBR,Homme,400,185,80,23.37472608,228.34,6.306385215
Gregorio Paltrinieri,ITA,Homme,400,188,66,18.67360797,228.41,6.30445252
Devon Brown,RSA,Homme,400,187,67,19.15982728,229.05,6.286836935
Daniel Fogg,GBR,Homme,400,179,74,23.09540901,229.17,6.283544967
Samuel Pizzetti,ITA,Homme,400,187,68,19.44579485,229.38,6.27779231
Kohei Yamamoto,JPN,Homme,400,177,70,22.34351559,229.48,6.27505665
Yannick Agnel,FRA,Homme,400,202,90,22.05666111,229.65,6.270411496
Sebastiaan Verschuren,NED,Homme,400,191,82,22.47745402,229.8,6.266318538
Ahmed Mathlouthi,TUN,Homme,400,190,90,24.93074792,229.85,6.264955406
Jack McLoughlin,AUS,Homme,400,180,75,23.14814815,230.4,6.25
Michael McBroom,USA,Homme,400,188,85,24.04934359,230.47,6.248101705
Mads Glaesner,DEN,Homme,400,189,82,22.95568433,230.59,6.244850167
Dylan Dunlop-Barrett,NZL,Homme,400,191,75,20.55864697,230.61,6.244308573
Takeshi Matsuda,JPN,Homme,400,184,85,25.1063327,230.63,6.243767073
Ous Mellouli,TUN,Homme,400,192,80,21.70138889,230.85,6.237816764
Jeremy Bagshaw,CAN,Homme,400,180,80,24.69135802,231.09,6.23133844
Riccardo Maestri,ITA,Homme,400,176,72,23.24380165,231.19,6.228643107
Pal Joensen,FAR,Homme,400,180,75,23.14814815,231.45,6.221646144
Anthony Pannier,FRA,Homme,400,189,84,23.51557907,231.77,6.213056047
Anders Lie Nielsen,DEN,Homme,400,186,70,20.23355301,231.78,6.212787989
Damien Joly,FRA,Homme,400,188,70,19.80534178,231.83,6.211448044
Fumiya Hidaka,JPN,Homme,400,164,62,23.05175491,232.03,6.20609404
Naito Ehara,JPN,Homme,400,171,57,19.49317739,232.3,6.198880758
Matthew Levings,AUS,Homme,400,186,68,19.6554515,232.32,6.198347107
Henrik Christiansen,NOR,Homme,400,175,75,24.48979592,232.6,6.190885641
Tyler Clary,USA,Homme,400,185,84,24.54346238,232.86,6.183973203
Yun Hao,CHN,Homme,400,185,80,23.37472608,232.94,6.181849403
David Brandl,AUT,Homme,400,186,83,23.99121286,233.04,6.179196704
Syo Sotodate,JPN,Homme,400,183,74,22.09680791,233.17,6.175751598
Ryan Napoleon,AUS,Homme,400,187,84,24.02127599,233.5,6.167023555
Gergo Kis,HUN,Homme,400,180,75,23.14814815,233.77,6.159900757
Conor Dwyer,USA,Homme,400,196,88,22.90712203,233.85,6.157793457
David Verraszto,HUN,Homme,400,180,73,22.5308642,234.17,6.149378657
Ediz Yildirimer,TUR,Homme,400,174,65,21.46915048,234.18,6.149116065
Matt McLean,USA,Homme,400,198,87,22.1916131,234.3,6.145966709
Axel Reymond,FRA,Homme,400,191,78,21.38099285,234.49,6.140986822
