"Name","Sex","Event","Equipment","Age","AgeClass","Division","BodyweightKg","WeightClassKg","Squat1Kg","Squat2Kg","Squat3Kg","Squat4Kg","Best3SquatKg","Bench1Kg","Bench2Kg","Bench3Kg","Bench4Kg","Best3BenchKg","Deadlift1Kg","Deadlift2Kg","Deadlift3Kg","Deadlift4Kg","Best3DeadliftKg","TotalKg","Place","Wilks","McCulloch","Glossbrenner","IPFPoints","Tested","Country","Federation","Date","MeetCountry","MeetState","MeetName","id","na_count"
"Ilyes Laloui","M","SBD","Raw",15.5,"16-17","Cadet",58.45,"59",70,75,NA,NA,75,40,45,NA,NA,45,100,102.5,NA,NA,102.5,222.5,"3",194.42,219.69,189.67,235.52,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258524,6
"Yann Berndt","M","SBD","Raw",15.5,"16-17","Cadet",63.59,"66",117.5,125,NA,NA,125,75,80,NA,NA,80,145,155,NA,NA,155,360,"1",291.64,329.55,283.47,402.21,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258525,6
"Mathias Cluzel","M","SBD","Raw",15.5,"16-17","Cadet",65.19,"66",90,97.5,NA,NA,97.5,70,75,NA,NA,75,100,107.5,NA,NA,107.5,280,"2",222.11,250.99,215.69,287.31,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258526,6
"Salaheddine Kourami","M","SBD","Raw",15.5,"16-17","Cadet",61.59,"66",75,80,NA,NA,80,45,47.5,NA,NA,47.5,90,95,NA,NA,95,222.5,"3",185.35,209.44,180.39,223.2,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258527,6
"Khaled Benbachir","M","SBD","Raw",16,"16-17","Cadet",66.93,"74",115,125,NA,NA,125,100,107.5,NA,NA,107.5,145,155,NA,NA,155,387.5,"1",300.81,339.92,291.86,420.83,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258528,6
"Thomas Couvreur","M","SBD","Raw",14.5,"13-15","Cadet",68.29,"74",110,120,NA,NA,120,80,90,NA,NA,90,125,130,NA,NA,130,340,"2",259.73,306.49,251.85,352.73,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258529,6
"Joshua Durel","M","SBD","Raw",15.5,"16-17","Cadet",66.64,"74",75,85,NA,NA,85,55,57.5,NA,NA,57.5,95,105,NA,NA,105,247.5,"3",192.81,217.87,187.1,239.07,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258530,6
"Alexis Kerangoarec","M","SBD","Raw",15,"13-15","Cadet",70.01,"74",70,77.5,NA,NA,77.5,55,60,NA,NA,60,100,110,NA,NA,110,247.5,"4",185.45,218.83,179.7,228.35,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258531,6
"Nahel Baali","M","SBD","Raw",15.5,"16-17","Cadet",72.59,"74",-125,-130,NA,NA,NA,102.5,110,NA,NA,110,195,210,NA,NA,210,NA,"DQ",NA,NA,NA,NA,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258532,12
"Kevin Zimmer","M","SBD","Raw",15.5,"16-17","Cadet",82.09,"83",100,105,NA,NA,105,67.5,72.5,NA,NA,72.5,110,-115,NA,NA,110,287.5,"1",193.18,218.29,186.51,243.85,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258533,6
"Jules Gomel","M","SBD","Raw",15.5,"16-17","Cadet",78.56,"83",-90,95,NA,NA,95,80,82.5,NA,NA,82.5,145,147.5,NA,NA,147.5,325,"2",224.47,253.65,216.92,296.89,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258534,6
"Quentin Vasseur","M","SBD","Raw",15.5,"16-17","Cadet",75.97,"83",60,62.5,NA,NA,62.5,40,42.5,NA,NA,42.5,95,97.5,NA,NA,97.5,202.5,"3",143.02,161.61,138.31,158.08,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258535,6
"Kouros Salari","M","SBD","Raw",14.5,"13-15","Cadet",77.91,"83",60,-65,NA,NA,60,60,65,NA,NA,65,100,105,NA,NA,105,230,"4",159.72,188.47,154.37,186.72,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258536,6
"Gilles Fauny","M","SBD","Raw",15.5,"16-17","Cadet",80.49,"83",75,82.5,NA,NA,82.5,35,42.5,NA,NA,42.5,100,110,NA,NA,110,235,"5",159.82,180.6,154.37,187.08,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258537,6
"Melvyn Mouillard","M","SBD","Raw",15.5,"16-17","Cadet",79.13,"83",60,-65,NA,NA,60,-55,-55,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258538,15
"Gaël Montez","M","SBD","Raw",15.5,"16-17","Cadet",85.78,"83+",110,120,NA,NA,120,75,77.5,NA,NA,77.5,120,122.5,NA,NA,122.5,320,"1",209.59,236.83,202.18,271.49,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258539,6
"Léo Bernerd","M","SBD","Raw",16,"16-17","Cadet",87.02,"83+",155,-160,NA,NA,155,105,110,NA,NA,110,170,180,NA,NA,180,445,"2",289.16,326.75,278.86,406.49,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258540,6
"Jérémie Rouhani","M","SBD","Raw",15.5,"16-17","Cadet",83.36,"83+",80,87.5,NA,NA,87.5,77.5,82.5,NA,NA,82.5,95,100,NA,NA,100,270,"3",179.76,203.13,173.51,221,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258541,6
"Clément Pougnet","M","SBD","Raw",15.5,"16-17","Cadet",106.47,"83+",-70,77.5,NA,NA,77.5,60,67.5,NA,NA,67.5,110,125,NA,NA,125,270,"4",160.57,181.44,154,181.82,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258542,6
"Corentin Lesage","M","SBD","Raw",15.5,"16-17","Cadet",89.32,"83+",100,110,NA,NA,110,65,70,NA,NA,70,90,100,NA,NA,100,280,"5",179.45,202.77,172.96,219.69,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258543,6
"Maxence Hubert","M","SBD","Raw",14.5,"13-15","Cadet",94.42,"83+",65,-70,NA,NA,65,45,50,NA,NA,50,100,105,NA,NA,105,220,"6",137.23,161.93,132.09,147.04,"Yes","","FFForce","2017-04-29","France","","France Force Athlétique Jeunes",1258544,6
"Caroline Sune","F","S","Raw",32.5,"24-34","Open",56.87,"",140,145,-147.5,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,"1",168.56,168.56,149.05,719.06,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258545,11
"Mélodie Anthouard","F","S","Raw",29.5,"24-34","Open",57.82,"",132.5,137.5,140,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,"2",160.65,160.65,142.02,688.84,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258546,11
"Madison Lepoittevin","F","S","Raw",22.5,"20-23","Open",58.36,"",150,157.5,-162.5,NA,157.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,"3",179.42,179.42,158.59,765.44,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258547,11
"Stéphanie Legard","F","S","Raw",36.5,"35-39","Open",46.83,"",115,120,-122.5,NA,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,"4",161.81,161.81,144.28,679.05,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258548,11
"Gléna Razakaria","F","S","Raw",25.5,"24-34","Open",51.07,"",105,112.5,-117.5,NA,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.5,"5",142.21,142.21,126.15,601.83,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258549,11
"Marie Christine Liege","F","S","Raw",62.5,"60-64","Open",67.27,"",90,97.5,102.5,NA,102.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102.5,"6",104.87,146.08,92.52,482.38,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258550,11
"Véronique Gaillard","F","S","Raw",51.5,"50-54","Open",50.27,"",92.5,100,-105,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,"7",127.94,146.75,113.57,541.65,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258551,11
"Mélodie Darmon","F","S","Raw",20.5,"20-23","Open",59.18,"",105,110,-112.5,NA,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,"8",123.95,126.43,109.54,543.73,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258552,11
"Tiffany Durand","F","S","Raw",19.5,"20-23","Open",55.19,"",87.5,92.5,-97.5,NA,92.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.5,"9",110.09,113.39,97.41,479.11,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258553,11
"Camille Dezier","F","S","Raw",26,"24-34","Open",124.69,"",-150,157.5,-162.5,NA,157.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.5,"10",125.09,125.09,105.78,553.71,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258554,11
"Emma Carvalho","F","S","Raw",16.5,"16-17","Open",52.51,"",60,65,70,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,"11",86.61,93.54,76.74,377,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258555,11
"Vanessa Martin","F","B","Raw",41.5,"40-44","Open",49.88,"",NA,NA,NA,NA,NA,67.5,70,-72.5,NA,70,NA,NA,NA,NA,NA,70,"1",90.09,90.99,80,629.31,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258556,11
"Charlotte Vedel","F","B","Raw",24,"24-34","Open",59.91,"",NA,NA,NA,NA,NA,82.5,85,87.5,NA,87.5,NA,NA,NA,NA,NA,87.5,"2",97.67,97.67,86.29,712.91,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258557,11
"Andréa Zicaro","F","B","Raw",23.5,"24-34","Open",47.32,"",NA,NA,NA,NA,NA,65,-70,70,NA,70,NA,NA,NA,NA,NA,70,"3",93.68,93.68,83.47,644.18,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258558,11
"Sylvie Mingot","F","B","Raw",48.5,"45-49","Open",55.72,"",NA,NA,NA,NA,NA,90,95,97.5,NA,97.5,NA,NA,NA,NA,NA,97.5,"4",115.17,126.34,101.88,811.37,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258559,11
"Lucie Lerenard","F","B","Raw",28.5,"24-34","Open",62.43,"",NA,NA,NA,NA,NA,67.5,72.5,75,NA,75,NA,NA,NA,NA,NA,75,"5",81.1,81.1,71.62,610.71,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258560,11
"Lauryane Beauchais","F","B","Raw",28.5,"24-34","Open",51.08,"",NA,NA,NA,NA,NA,70,72.5,-75,NA,72.5,NA,NA,NA,NA,NA,72.5,"6",91.63,91.63,81.28,642.93,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258561,11
"Camille Fabre","F","B","Raw",26,"24-34","Open",68.73,"",NA,NA,NA,NA,NA,80,85,-87.5,NA,85,NA,NA,NA,NA,NA,85,"7",85.65,85.65,75.53,658.25,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258562,11
"Kaitlyn Dirksmeier","F","B","Raw",33.5,"24-34","Open",50.93,"",NA,NA,NA,NA,NA,57.5,60,-65,NA,60,NA,NA,NA,NA,NA,60,"8",76,76,67.43,543.34,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258563,11
"Chloé Cuinier","F","B","Raw",20,"20-23","Open",66.37,"",NA,NA,NA,NA,NA,62.5,67.5,-70,NA,67.5,NA,NA,NA,NA,NA,67.5,"9",69.74,71.83,61.54,544.02,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258564,11
"Marie Quintin","F","B","Raw",21.5,"20-23","Open",59.5,"",NA,NA,NA,NA,NA,42.5,45,47.5,NA,47.5,NA,NA,NA,NA,NA,47.5,"10",53.3,53.84,47.1,418.49,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258565,11
"Laure Planes","F","B","Raw",34.5,"24-34","Open",44.81,"",NA,NA,NA,NA,NA,40,42.5,45,NA,45,NA,NA,NA,NA,NA,45,"11",62.59,62.59,56.03,444.8,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258566,11
"Ankie Timmers","F","D","Raw",31.5,"24-34","Open",76.93,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185,-195,205,NA,205,205,"1",191.87,191.87,168.6,759.25,"Yes","Netherlands","FFForce","2018-06-23","France","","Challenge Villenave",1258567,11
"Julia Dru","F","D","Raw",21,"20-23","Open",52.49,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,152.5,155,NA,155,155,"2",191.83,195.67,169.98,657.85,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258568,11
"Coline Sirman","F","D","Raw",27.5,"24-34","Open",47.48,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.5,-130,132.5,NA,132.5,132.5,"3",176.89,176.89,157.57,582.54,"Yes","Switzerland","FFForce","2018-06-23","France","","Challenge Villenave",1258569,11
"Audrey Mingot","F","D","Raw",24.5,"24-34","Open",50.67,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,-127.5,-127.5,NA,120,120,"4",152.6,152.6,135.42,510.44,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258570,11
"Prescia Gayino","F","D","Raw",35.5,"35-39","Open",71.3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,-170,-170,NA,160,160,"5",157.19,157.19,138.5,603.26,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258571,11
"Clara Diman","F","D","Raw",24.5,"24-34","Open",64.48,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,157.5,-162.5,NA,157.5,157.5,"6",166.22,166.22,146.73,616.3,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258572,11
"Livry Laure Romain","F","D","Raw",50.5,"50-54","Open",68.39,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,142.5,-150,NA,142.5,142.5,"7",144.09,162.82,127.07,542.73,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258573,11
"Pauline Lagardere","F","D","Raw",22.5,"20-23","Open",54.28,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,125,-140,NA,125,125,"8",150.71,150.71,133.41,517.82,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258574,11
"Aurélie Bouguereau","F","D","Raw",21.5,"20-23","Open",52.08,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,112.5,-117.5,NA,112.5,112.5,"9",140.08,141.48,124.16,471.27,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258575,11
"Lucie Lebreton","F","D","Raw",16.5,"16-17","Open",54.33,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,100,105,NA,105,105,"10",126.51,136.63,111.98,430.31,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258576,11
"Julie Franch Guerra","F","D","Raw",27.5,"24-34","Open",79.73,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,135,140,NA,140,140,"11",128.34,128.34,112.58,503.62,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258577,11
"Pierre Shillingford","M","S","Raw",29.5,"24-34","Open",92.15,"",-245,245,252.5,NA,252.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,252.5,"1",159.32,159.32,153.45,652.97,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258578,11
"Samy Kotori","M","S","Raw",24,"24-34","Open",89.91,"",220,227.5,230,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,"2",146.91,146.91,141.57,603.95,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258579,11
"Álvaro Fernández Ramos #1","M","S","Raw",28.5,"24-34","Open",65.35,"",185,190,-197.5,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,190,"3",150.41,150.41,146.05,629.56,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258580,11
"Panagiotis Tarinidis","M","S","Raw",24,"24-34","Open",70.57,"",205,215,225,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,"4",167.58,167.58,162.34,702.24,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258581,11
"Cédric Merle","M","S","Raw",28,"24-34","Open",75.92,"",215,225,-235,NA,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,225,"5",158.98,158.98,153.74,664.32,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258582,11
"Anthony Mastrorolenzo","M","S","Raw",35.5,"35-39","Open",74.41,"",217.5,227.5,-232.5,NA,227.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227.5,"6",163.01,163.01,157.71,681.89,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258583,11
"Julien Omar","M","S","Raw",29.5,"24-34","Open",77.23,"",185,-195,195,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,195,"7",136.2,136.2,131.67,567.71,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258584,11
"Ugo Masarotti","M","S","Raw",30.5,"24-34","Open",127.29,"",285,302.5,-312.5,NA,302.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,302.5,"8",171.76,171.76,163.46,648.23,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258585,11
"Adrien Poinson","M","B","Raw",26.5,"24-34","Open",69.47,"",NA,NA,NA,NA,NA,180,190,200,NA,200,NA,NA,NA,NA,NA,200,"1",150.76,150.76,146.11,931.36,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258586,11
"Akraman Saydoulaev","M","B","Raw",34.5,"24-34","Open",99.38,"",NA,NA,NA,NA,NA,185,-187.5,-187.5,NA,185,NA,NA,NA,NA,NA,185,"2",112.87,112.87,108.5,667.61,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258587,11
"Christophe Bello","M","B","Raw",36,"35-39","Open",64.74,"",NA,NA,NA,NA,NA,135,140,145,NA,145,NA,NA,NA,NA,NA,145,"3",115.69,115.69,112.38,715.6,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258588,11
"Frédéric Lecellier","M","B","Raw",36,"35-39","Open",116.56,"",NA,NA,NA,NA,NA,205,-210,-210,NA,205,NA,NA,NA,NA,NA,205,"4",118.7,118.7,113.43,672.57,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258589,11
"Pascal Poidras","M","B","Raw",50.5,"50-54","Open",64.4,"",NA,NA,NA,NA,NA,125,130,132.5,NA,132.5,NA,NA,NA,NA,NA,132.5,"5",106.19,119.99,103.17,656.66,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258590,11
"Mourad Benkissous","M","B","Raw",44.5,"40-44","Open",115.12,"",NA,NA,NA,NA,NA,-180,180,185,NA,185,NA,NA,NA,NA,NA,185,"6",107.46,112.09,102.75,611.37,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258591,11
"Gabriel Begue","M","B","Raw",24.5,"24-34","Open",87.44,"",NA,NA,NA,NA,NA,180,187.5,-192.5,NA,187.5,NA,NA,NA,NA,NA,187.5,"7",121.52,121.52,117.18,735.69,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258592,11
"Yoann Henry","M","B","Raw",29.5,"24-34","Open",87.14,"",NA,NA,NA,NA,NA,102.5,107.5,-110,NA,107.5,NA,NA,NA,NA,NA,107.5,"8",69.8,69.8,67.31,422.58,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258593,11
"Julien Vilin","M","D","Raw",28.5,"24-34","Open",105.13,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275,290,-302.5,NA,290,290,"1",173.22,173.22,166.21,631.79,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258594,11
"Thomas Louet","M","D","Raw",27,"24-34","Open",67.17,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255,265,-270,NA,265,265,"2",205.12,205.12,199,723.61,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258595,11
"Benoit Carole","M","D","Raw",30.5,"24-34","Open",100.94,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,300,310,NA,310,310,"3",187.97,187.97,180.6,695.28,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258596,11
"Davis Mssa","M","D","Raw",36.5,"35-39","Open",89.31,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260,-270,-272.5,NA,260,260,"4",166.64,166.64,160.61,605.66,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258597,11
"Charles Creuillot","M","D","Raw",28.5,"24-34","Open",82.85,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,-282.5,-282.5,NA,270,270,"5",180.42,180.42,174.16,657.84,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258598,11
"Vladimir Verdier","M","D","Raw",27.5,"24-34","Open",78.89,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,240,247.5,NA,247.5,247.5,"6",170.48,170.48,164.73,612.28,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258599,11
"Rémy Dejonckheere","M","D","Raw",31,"24-34","Open",81.16,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,252.5,-257.5,NA,252.5,252.5,"7",170.84,170.84,164.99,616.64,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258600,11
"Anthony Da Silva","M","D","Raw",32.5,"24-34","Open",74.48,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,210,-217.5,NA,210,210,"8",150.37,150.37,145.48,524.38,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258601,11
"Cédric Letellier","M","S","Raw",23,"20-23","Juniors",72.65,"",205,212.5,217.5,NA,217.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217.5,"1",158.53,158.53,153.47,663.52,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258602,11
"Alexia Perez-Miviere","F","S","Raw",19,"18-19","Juniors",72.67,"",150,155,160,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,"2",155.21,161.42,136.68,689.53,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258603,11
"Eddy Bernou","M","S","Raw",20,"20-23","Juniors",91.8,"",217.5,227.5,232.5,NA,232.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,232.5,"3",146.97,151.38,141.57,602.37,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258604,11
"Antoine Garcia","M","S","Raw",23,"20-23","Juniors",57.87,"",165,-175,-175,NA,165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,"4",145.53,145.53,142.06,606.82,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258605,11
"Rodrigue Claviez","M","S","Raw",18,"18-19","Juniors",85.79,"",220,227.5,235,NA,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,235,"5",153.91,163.14,148.47,636.73,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258606,11
"Alexis Bachellez","M","S","Raw",19.5,"20-23","Juniors",73,"",182.5,-192.5,-192.5,NA,182.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182.5,"6",132.56,136.54,128.31,553.55,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258607,11
"Alexandre Tarinidis","M","S","Raw",22,"20-23","Juniors",68.99,"",170,180,187.5,NA,187.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,187.5,"7",142.09,143.52,137.74,594.41,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258608,11
"Antoine Brenon","M","S","Raw",20.5,"20-23","Juniors",76.78,"",185,200,-205,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,"8",140.24,143.05,135.59,584.91,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258609,11
"Julien Breugnot","M","S","Raw",19.5,"20-23","Juniors",74.43,"",155,165,172.5,NA,172.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172.5,"9",123.57,127.28,119.56,515.26,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258610,11
"Yoann Demy","M","S","Raw",17.5,"18-19","Juniors",68.22,"",-130,130,140,NA,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,"10",107.04,113.46,103.79,445.74,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258611,11
"Alexis Rodde","M","S","Raw",21,"20-23","Juniors",87.35,"",-215,-215,-215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DQ",NA,NA,NA,NA,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258612,17
"Rémi Noyau","M","S","Raw",22.5,"20-23","Juniors",80.7,"",170,180,-185,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,"12",122.22,122.22,118.04,507.37,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258613,11
"Eddie Berglund","M","B","Raw",22.5,"20-23","Juniors",66.67,"",NA,NA,NA,NA,NA,190,202.5,212.5,NA,212.5,NA,NA,NA,NA,NA,212.5,"1",165.48,165.48,160.58,1023.99,"Yes","Sweden","FFForce","2018-06-23","France","","Challenge Villenave",1258614,11
"Bastien Poyet","M","B","Raw",22.5,"20-23","Juniors",72.63,"",NA,NA,NA,NA,NA,192.5,197.5,-202.5,NA,197.5,NA,NA,NA,NA,NA,197.5,"2",143.99,143.99,139.38,887.6,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258615,11
"Camille Pailha","F","B","Raw",18.5,"18-19","Juniors",68.24,"",NA,NA,NA,NA,NA,80,85,87.5,NA,87.5,NA,NA,NA,NA,NA,87.5,"3",88.61,92.16,78.15,677.37,"Yes","France","FFForce","2018-06-23","France","","Challenge Villenave",1258616,11
"Anthony Costarigot","M","B","Raw",19.5,"20-23","Juniors",76.54,"",NA,NA,NA,NA,NA,150,157.5,-160,NA,157.5,NA,NA,NA,NA,NA,157.5,"4",110.67,114,107.01,679.61,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258617,11
"Emeric Mercier","M","B","Raw",23,"20-23","Juniors",92.97,"",NA,NA,NA,NA,NA,150,-157.5,-157.5,NA,150,NA,NA,NA,NA,NA,150,"5",94.24,94.24,90.75,564.9,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258618,11
"Medhi Sahari","M","B","Raw",21.5,"20-23","Juniors",67.4,"",NA,NA,NA,NA,NA,-137.5,-137.5,137.5,NA,137.5,NA,NA,NA,NA,NA,137.5,"6",106.14,107.2,102.96,655.74,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258619,11
"Yannick Hello","M","B","Raw",20.5,"20-23","Juniors",100.15,"",NA,NA,NA,NA,NA,142.5,-147.5,150,NA,150,NA,NA,NA,NA,NA,150,"7",91.23,93.06,87.68,538.75,"Yes","","FFForce","2018-06-23","France","","Challenge Villenave",1258620,11
